影	picture/image/reflection/shadow	yǐng
冲	to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards	chōng/chòng
黑	black/dark	hēi
控	to accuse/to charge/to control/to sue	kòng
哥	elder brother	gē
草	grass/straw/draft (of a document)/careless/rough/manuscript/hasty	cǎo
警	to alert/to warn	jǐng
验	to examine/to test/to check	yàn
随	to follow/to comply with/to allow/(surname)	suí
托	to hold in one's hand/to entrust/to support in one's palm, entrust	tuō
角	angle/horn/horn-shaped, Chinese musical note/angle/horn	jiǎo/jué
阳	positive (electric.)/sun	yáng
免	to exempt/to remove/to avoid/to excuse	miǎn
断	absolutely/decidedly (in negative constructions)/break/to judge	duàn
顾	look after/take into consideration/to attend to	gù
项	(surname)/back of neck/item/thing	xiàng
引	to lead/to divert (water)/to guide	yǐn
胜	(also sheng4) able to do/competent enough to, peptide, victorious	shēng/shèng
举	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect	jǔ
校	proofread/to check/to compare, school	jiào/xiào
善	good	shàn
互	mutual	hù
阶	rank or step/stairs	jiē
般	sort/kind/class/way/manner	bān
甚	very/extremely/more (than)	shèn
脸	face	liǎn
织	weave	zhī
波	wave/ripple/storm/surge	bō
似	to seem/to appear/similar/like/to resemble	sì
奇	odd (Num), strange/odd/weird/wonderful	jī/qí
呼	to call/to cry/to shout/to breath out/to exhale	hū
审	to examine/to investigate/carefully/to try (in court)	shěn
良	good/very/very much	liáng
父	father	fù
育	nourish/to rear	yù
府	prefecture/mansion	fǔ
策	method/plan/policy/scheme	cè
满	Manchurian/to fill/to fulfill/filled/packed	mǎn
半	half/semi-/incomplete/(after a number) and a half/half	bàn
降	to drop/to fall/to come down/to descend, surrender	jiàng/xiáng
简	simple	jiǎn
福	good fortune	fú
线	thread/string/wire/line	xiàn
兴	flourish/it is the fashion to/to become popular, interest	xīng/xìng
汉	Chinese/name of a dynasty	hàn
倒	to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted	dǎo/dào
友	friend	yǒu
征	attack/levy (troops or taxes)/journey/trip/expedition	zhēng
房	house	fáng
势	conditions/influence/tendency	shì
印	stamp/seal/mark/print/India (abbrev.)	yìn
副	secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair)	fù
守	to guard	shǒu
换	change/exchange	huàn
佛	Buddha/Buddhism, seemingly	fó/fú
节	festival/section/segment/point/part/to economize/to save/temperate	jié/jiē
监	hard/strong/solid/firm/to supervise/to inspect/jail/prison, supervisor	jiān/jiàn
七	seven/7	qī
火	fire	huǒ
置	to install/to place/to put	zhì
希	rare/infrequent	xī
预	to advance/in advance/beforehand/to prepare	yù
退	retreat/to decline/to move back/to withdraw	tuì
怀	to think of/to cherish/mind/heart/bosom	huái
登	scale/climb/ascend/mount/go up/register/note/to publish/to issue/to record	dēng
突	to dash/to move forward quickly	tū
食	animal feed/eat/food, to feed	shí/sì
律	law	lǜ/lǜ
围	to circle/to surround	wéi
航	boat/ship/vessel/craft/to navigate/to sail	háng
古	ancient/old	gǔ
属	belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on	shǔ/zhǔ
功	merit/achievement/result/service/accomplishment	gōng
仍	still/yet/to remain	réng
注	to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate	zhù
愿	sincere/willing, hope/wish/desire/ready/willing	yuàn
专	for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized	zhuān
艺	skill/art	yì
群	crowd/flock/group	qún
包	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)	bāo
查	to research/to check/to investigate/to examine/to refer to/to search, (surname)	chá/zhā
沉	submerge/immerse/sink/deep/profound/to lower/to drop	chén
模	imitate/model/norm/pattern	mó
称	balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard	chèn/chēng/chèng
背	carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body	bēi/bèi
讲	to talk/speech/to speak/to tell/to explain	jiǎng
创	a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create	chuāng/chuàng
积	to amass/to accumulate/to store/old/long-standing	jī
份	(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)	fèn
适	to fit/to suit	shì
射	radio- (chem.)/shoot	shè
痛	ache/pain/sorrow	tòng
游	to walk/to tour/to roam/to swim/to travel, to roam/travel	yóu
央	beg/center	yāng
青	green (blue, black)	qīng
排	a platoon/line up, row of logs or boards	pái/pǎi
压	to press/to push down/to keep under (control), in the first place/to crush	yā/yà
独	alone/independent/single/sole/only	dú
留	leave (message)/to retain/to stay/to remain/to keep/to preserve	liú
易	(surname)/change/easy/simple	yì
武	martial/military	wǔ
微	micro/tiny/miniature	wēi
衣	clothes, gown/to dress/to wear	yī/yì
纳	to accept/to pay (tax etc.)	nà
护	protect	hù
激	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent	jī
况	moreover/situation	kuàng
网	net/network, a net	wǎng
男	male	nán
乎	(interrog. part.)	hū
啊	(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)	ā/á/ǎ/à/a
助	to help/to assist	zhù
酒	wine/liquor/spirits	jiǔ
够	to reach/to be enough	gòu
树	tree	shù
否	to negate/to deny/not, clogged/evil	fǒu/pǐ
精	energy/perfect/excellent/refined/very/proficient	jīng
判	to judge/to sentence/to discriminate/to discern	pàn
视	to look at/to regard/to inspect	shì
养	give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)	yǎng
读	comma/phrase marked by pause, to read/to study	dòu/dú
另	other/another/separate/separately	lìng
片	disc/sheet, a slice/piece/flake/thin/slice	piān/piàn
孩	child	hái
尽	to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)	jǐn/jìn
料	material/stuff/grain/feed/to expect/to anticipate/to guess	liào
故	happening/instance/reason/cause/deceased/old	gù
冷	cold	lěng
景	bright/circumstance/scenery	jǐng
器	device/tool/utensil	qì
照	according to/in accordance with/to shine/to illuminate/to reflect/photograph	zhào
六	six/6	liù
某	(used before measure word and noun) some/(a) certain/so and so	mǒu
紧	tight/nervous/strict	jǐn
假	fake/false/artificial/to borrow/if/suppose, vacation	jiǎ/jià
银	silver	yín
略	plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize	luè
曾	(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)	céng/zēng
批	to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on	pī
选	to choose/to pick/to select/to elect	xuǎn
离	to leave/to depart/to go away/from	lí
乱	in confusion/disorderly	luàn
靠	depend upon/lean on/near/by/against/to support	kào
欢	joyous/happy/pleased	huān
察	examine/inquire/observe/inspect/look into/to examine	chá
皇	(surname)/emperor	huáng
忙	busy	máng
图	diagram/to plan/picture/drawing/chart	tú
红	bonus/popular/red/revolutionary	hóng
亮	light/bright	liàng
史	history	shǐ
示	to show/reveal	shì
谈	to speak/to talk/to converse/to chat/to discuss/(surname)	tán
买	buy	mǎi
充	fill/satisfy/fulfill/to act in place of/substitute/sufficient/full	chōng
承	to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive	chéng
付	pay	fù
股	share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff	gǔ
哪	how/which, (final part. preceded by N), which (followed by M or Num)	nǎ/na/něi
复	again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap	fù
妈	ma/mamma	mā
防	to protect/to defend/to guard (against)	fáng
历	calendar, to experience/to undergo/to pass through/all/each/every/calendar	lì
坏	bad/spoiled, bad	huài
足	foot/to be sufficient	zú
斗	Chinese peck, to fight/to battle/to struggle/to incite, fight/incite	dǒu/dòu
姐	older sister	jiě
差	difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven	chā/chà/chāi/cī
述	to state/to tell/to narrate/to relate	shù
列	to arrange/to line up/row/file/series	liè
须	beard/necessary/must, beard/mustache	xū
境	border/place/condition/boundary/circumstances/territory	jìng
划	to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character	huá/huà
除	remove/do away with/wipe out/divide/except	chú
卡	to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost	kǎ/qiǎ
版	a register/a block of printing/an edition/version/page	bǎn
研	grind fine/study/research	yán
皮	leather/skin/fur	pí
习	to practice/to study/habit	xí
船	a boat/vessel/ship	chuán
抗	to resist/to fight/to defy	kàng
雷	(surname)/thunder	léi
优	excellent/superior	yōu
容	to hold/to contain/to allow/appearance/look/countenance	róng
吗	morphine, (question tag)	mǎ/ma
州	(United States) state/province/sub-prefecture	zhōu
响	to make a sound/to sound/to ring/(a measure word for sound)/loud	xiǎng
双	two/double/pair/both	shuāng
技	skill	jì
八	eight/8	bā
慢	slow	màn
夜	night	yè
帮	to assist/to support/to help/group/gang/party	bāng
仅	barely/only/merely	jǐn
密	secret/confidential/close/thick/dense	mì
介	introduce/lie between/between	jiè
余	extra/surplus/remaining/after/I/me	yú
脚	a kick/foot/role, role	jiǎo/jué
云	(classical) to say, cloud/(abbr.) for Yunnan/surname	yún
居	reside	jū
攻	to attack/to accuse/to study	gōng
吧	(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?	bā/ba
局	narrow, (a measure word used for games) set or round office/situation/office	jú
龙	dragon/imperial/Long (a surname)	lóng
巴	(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)	bā
田	(surname)/field/farm	tián
率	rate/frequency, to lead/command	lǜ/shuài/lǜ
杀	to kill/to murder/to slaughter	shā
敌	enemy/match	dí
检	to check/to examine/to inspect	jiǎn
劳	toil	láo
装	adornment/adorn/costume/dress/clothing	zhuāng
修	to decorate/to embellish/to repair/to build/to study/to write/to cultivate	xiū
供	offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession	gōng/gòng
若	to seem/like/as/if	ruò
阿	an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter	ā/à/a/ē
怪	queer/to blame	guài
派	clique/school/group/faction/to dispatch	pài
益	benefit/increase	yì
际	border/edge/boundary/between/among/interval/while	jì
施	(surname)/distribute (alms)/to do/to execute/to carry out	shī
铁	iron	tiě
吃	eat/eradicate/destroy/receive, eat, stammer	chī/jí
谁	who, who	shéi/shuí
低	to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low	dī
职	office/duty	zhí
宗	school/sect/purpose/model/ancestor/family	zōng
恶	nauseated, evil, to hate/to loathe	ě/è/wù
态	attitude	tài
普	general/popular/everywhere/universal	pǔ
税	taxes/duties	shuì
志	the will, sign/mark/to record/write a footnote	zhì
千	thousand, a swing	qiān
刚	hard/firm/strong/just/barely/exactly	gāng
广	wide/numerous/to spread	guǎng
索	to search/to demand/to ask/to exact/large rope/isolated	suǒ
虽	although/even though	suī
写	to write	xiě
静	still/calm/quiet/not moving	jìng
伊	he/she/(surname)/Iraq (abbrev.)	yī
惊	to start/to be frightened/to be scared/alarm	jīng
室	room	shì
香	fragrant/incense/(of food) savory/appetizing/sweet/scented/popular	xiāng
喜	to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad	xǐ
晚	evening/night/late	wǎn
陈	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)	chén
弹	crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)	dàn/tán
您	you (formal)	nín
伯	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address	bó
亚	Asia/Asian/second/next to/inferior	yà
怕	to be afraid/to fear	pà
评	to discuss/to comment/to criticize/to judge/to choose (by public appraisal)	píng
土	earth/dust	tǔ
停	to stop/to halt	tíng
增	to increase/to expand/to add	zēng
省	frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit	shěng/xǐng
担	to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility	dān/dàn
限	limit/bound	xiàn
异	(interj.)/raise/to stop, different/unusual/strange	yì
支	(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money	zhī
块	piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)	kuāi/kuài
破	to break/to split/broken/damaged/worn out	pò
刻	quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive	kè
继	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit	jì
严	(air or water) tight/stern/serious/strict/severe	yán
坚	strong/solid/firm/unyielding/resolute	jiān
河	river	hé
胡	(surname)/beard/what why how, beard/mustache	hú
